Settled;Description;Type;Odds;Stake (R$);Liability (R$);Profit/Loss (R$);Status
01-Jun-22 17:03:54;Kokkinakis v Ot Virtanen Thanasi Kokkinakis-Match Odds | Betfair Bet ID 1:270170743349 | Placed 01-Jun-22 07:15:00;Back;1,26;5; -- ;-5;Lost
01-Jun-22 15:28:12;Duckworth v Herbert James Duckworth-Match Odds | Betfair Bet ID 1:270148768510 | Placed 31-May-22 21:52:06;Back;2;5; -- ;-5;Lost
01-Jun-22 14:05:42;Thompson v Copil Jordan Thompson-Match Odds | Betfair Bet ID 1:270148799765 | Placed 31-May-22 21:53:25;Back;1,71;5; -- ;3,55;Won
01-Jun-22 13:49:44;Al Shevchenko v Laaksonen Henri Laaksonen-Match Odds | Betfair Bet ID 1:270170855771 | Placed 01-Jun-22 07:16:09;Back;1,92;5; -- ;-5;Lost
31-May-22 15:08:13;Uchida v Str Kirchheimer Kaichi Uchida-Match Odds | Betfair Bet ID 1:270115664878 | Placed 31-May-22 10:52:27;Back;1,58;5; -- ;2,9;Won
26-Apr-22 19:47:48;Lock v Sk Mansouri Skander Mansouri-Match Odds | Betfair Bet ID 1:266243968210 | Placed 26-Apr-22 14:34:25;Back;1,72;5; -- ;-5;Lost
26-Apr-22 15:44:38;C Van Nguyen v A Sutjiadi A Sutjiadi-Match Odds | Betfair Bet ID 1:266218775149 | Placed 26-Apr-22 09:47:38;Back;1,83;5; -- ;-5;Lost
26-Apr-22 14:50:00;A Parazinskaite v E Mandlik E Mandlik-Match Odds | Betfair Bet ID 1:266218810188 | Placed 26-Apr-22 09:48:01;Back;1,5;5; -- ;-5;Lost
25-Apr-22 16:37:52;Coria v Zapata Miralles Federico Coria-Match Odds | Betfair Bet ID 1:266139269747 | Placed 25-Apr-22 12:19:15;Back;1,78;6; -- ;-6;Lost
25-Apr-22 14:52:47;Lajovic v Tiafoe Frances Tiafoe-Match Odds | Betfair Bet ID 1:266128320287 | Placed 25-Apr-22 10:36:50;Back;1,63;5; -- ;3,15;Won
24-Apr-22 18:11:51;Otegui v Martinez Mateo Nicolas Martinez-Match Odds | Betfair Bet ID 1:266051026891 | Placed 24-Apr-22 14:31:09;Back;1,52;6,27; -- ;-6,27;Lost
24-Apr-22 07:39:32;L Bronzetti v S Waltert L Bronzetti-Match Odds | Betfair Bet ID 1:265958500700 | Placed 24-Apr-22 02:45:30;Back;1,5;7; -- ;3,5;Won
23-Apr-22 07:32:41;Arnaldi v Arnaboldi Andrea Arnaboldi-Match Odds | Betfair Bet ID 1:265776190387 | Placed 23-Apr-22 01:35:56;Back;1,89;7,14; -- ;-7,14;Lost
22-Apr-22 09:14:41;d schwartzman v Musetti Diego Schwartzman-Match Odds | Betfair Bet ID 1:265672527531 | Placed 22-Apr-22 07:02:44;Back;1,5;5; -- ;2,5;Won
21-Apr-22 18:29:08;Kontaveit v Alexandrova Anett Kontaveit-Match Odds | Betfair Bet ID 1:265614125337 | Placed 21-Apr-22 12:48:11;Back;1,53;6; -- ;3,18;Won
21-Apr-22 15:58:09;Tama Korpatsch v Emm Raducanu Emma Raducanu-Match Odds | Betfair Bet ID 1:265614156090 | Placed 21-Apr-22 12:48:32;Back;1,52;6; -- ;3,12;Won
21-Apr-22 13:26:49;Djokovic v Kecmanovic Novak Djokovic-Match Odds | Betfair Bet ID 1:265596525520 | Placed 21-Apr-22 09:55:42;Back;1,6;6,99; -- ;4,19;Won
21-Apr-22 12:15:37;Samsonova v Ka Pliskova Karolina Pliskova-Match Odds | Betfair Bet ID 1:265596452109 | Placed 21-Apr-22 09:55:00;Back;1,98;7; -- ;-7;Lost
19-Apr-22 19:53:10;Bellier v Istomin Denis Istomin-Match Odds | Betfair Bet ID 1:265404737742 | Placed 19-Apr-22 14:49:14;Back;1,85;7,24; -- ;6,15;Won
19-Apr-22 12:58:18;Mari Melnikova v Kudermetova Veronika Kudermetova-Match Odds | Betfair Bet ID 1:265369193561 | Placed 19-Apr-22 09:21:38;Back;1,24;10; -- ;2,4;Won
19-Apr-22 06:48:39;Martincova v Bondar Tereza Martincova-Match Odds | Betfair Bet ID 1:265341773912 | Placed 18-Apr-22 22:25:41;Back;1,76;6,81; -- ;-6,81;Lost
18-Apr-22 15:12:31;Samsonova v Paquet Liudmila Samsonova-Match Odds | Betfair Bet ID 1:265305164257 | Placed 18-Apr-22 13:20:17;Back;1,43;7; -- ;3,01;Won
16-Apr-22 07:51:33;Carballes Baena v Cachin Roberto Carballes Baena-Match Odds | Betfair Bet ID 1:264902067677 | Placed 15-Apr-22 22:23:32;Back;1,61;7,65; -- ;-7,65;Lost
16-Apr-22 00:09:17;Olivo v Escobedo Ernesto Escobedo-Match Odds | Betfair Bet ID 1:264888448035 | Placed 15-Apr-22 17:33:38;Back;1,74;7; -- ;-7;Lost
15-Apr-22 20:02:04;Johnson v Krueger Steve Johnson-Match Odds | Betfair Bet ID 1:264888227997 | Placed 15-Apr-22 17:31:24;Back;1,65;6; -- ;3,9;Won
15-Apr-22 08:37:10;Davidovich Fokina v Fritz Taylor Fritz-Match Odds | Betfair Bet ID 1:264790318625 | Placed 15-Apr-22 00:43:13;Back;1,96;8; -- ;-8;Lost
15-Apr-22 06:21:34;Y Putintseva v A Kerber Angelique Kerber-Match Odds | Betfair Bet ID 1:264785259784 | Placed 14-Apr-22 22:01:43;Back;1,75;6,88; -- ;-6,88;Lost
14-Apr-22 19:17:53;Zh Zhang v Ni Mejia Zhizhen Zhang-Match Odds | Betfair Bet ID 1:264769349886 | Placed 14-Apr-22 16:17:13;Back;1,8;6; -- ;4,8;Won
14-Apr-22 18:50:14;Brouwer v Sock Jack Sock-Match Odds | Betfair Bet ID 1:264748721078 | Placed 14-Apr-22 13:38:03;Back;1,52;6,9; -- ;3,59;Won
14-Apr-22 14:18:44;K Stresnakova v D Jakupovic D Jakupovic-Match Odds | Betfair Bet ID 1:264720630406 | Placed 14-Apr-22 09:35:05;Back;1,67;5; -- ;3,35;Won
14-Apr-22 10:33:22;Musetti v Schwartzman Diego Schwartzman-Match Odds | Betfair Bet ID 1:264691499254 | Placed 14-Apr-22 00:28:15;Back;1,57;7,18; -- ;4,09;Won
14-Apr-22 07:32:03;O Weightman v H Moriya H Moriya-Match Odds | Betfair Bet ID 1:264696029391 | Placed 14-Apr-22 03:12:43;Back;1,31;10; -- ;3,1;Won
13-Apr-22 23:16:52;Bellier v Gaio Federico Gaio-Match Odds | Betfair Bet ID 1:264662243557 | Placed 13-Apr-22 15:01:09;Back;1,58;8; -- ;-8;Lost
13-Apr-22 11:31:33;Verdasco v Guinard Fernando Verdasco-Match Odds | Betfair Bet ID 1:264610213964 | Placed 13-Apr-22 06:44:46;Back;1,68;5; -- ;-5;Lost
13-Apr-22 10:03:25;K Kuzmova v X Yao K Kuzmova-Match Odds | Betfair Bet ID 1:264610087936 | Placed 13-Apr-22 06:43:04;Back;2,38;5; -- ;-5;Lost
12-Apr-22 16:25:31;R Harrison v Adrian Andreev Ryan Harrison-Match Odds | Betfair Bet ID 1:264564861445 | Placed 12-Apr-22 14:16:46;Back;1,87;6; -- ;-6;Lost
12-Apr-22 15:56:05;Lajovic v Dimitrov Grigor Dimitrov-Match Odds | Betfair Bet ID 1:264553978855 | Placed 12-Apr-22 11:59:40;Back;1,6;7,8; -- ;4,68;Won
12-Apr-22 06:43:20;E Appleton v F Arcidiacono F Arcidiacono-Match Odds | Betfair Bet ID 1:264523062860 | Placed 12-Apr-22 02:19:12;Back;1,67;7,26; -- ;4,86;Won
11-Apr-22 15:42:38;Hurkacz v Dellien Hubert Hurkacz-Match Odds | Betfair Bet ID 1:264467846375 | Placed 11-Apr-22 10:03:29;Back;1,48;7,08; -- ;3,4;Won
10-Apr-22 17:12:36;Jabeur v Bencic Ons Jabeur-Match Odds | Betfair Bet ID 1:264368305138 | Placed 10-Apr-22 11:27:49;Back;1,97;5; -- ;-5;Lost
10-Apr-22 08:30:03;Cobolli v Emil Ruusuvuori Emil Ruusuvuori-Match Odds | Betfair Bet ID 1:264290742557 | Placed 10-Apr-22 00:29:57;Back;1,61;7; -- ;4,27;Won
09-Apr-22 18:36:56;Isner v Garin John Isner-Match Odds | Betfair Bet ID 1:264243971286 | Placed 09-Apr-22 15:11:29;Back;1,86;6; -- ;5,19;Won
09-Apr-22 18:00:24;Anisimova v Jabeur Ons Jabeur-Match Odds | Betfair Bet ID 1:264243891420 | Placed 09-Apr-22 15:10:59;Back;1,78;6,5; -- ;5,07;Won
09-Apr-22 13:30:02;Cressy v Van Assche Maxime Cressy-Match Odds | Betfair Bet ID 1:264169292031 | Placed 09-Apr-22 09:35:18;Back;1,64;6,54; -- ;4,19;Won
08-Apr-22 01:26:36;Johnson v Isner John Isner-Match Odds | Betfair Bet ID 1:263989637257 | Placed 07-Apr-22 18:58:16;Back;1,8;5; -- ;4;Won
08-Apr-22 00:28:32;A Eala v M Kobori A Eala-Match Odds | Betfair Bet ID 1:263994910513 | Placed 07-Apr-22 20:54:54;Back;2;5; -- ;5;Won
07-Apr-22 22:48:19;Tabilo v Fritz Taylor Fritz-Match Odds | Betfair Bet ID 1:263989621778 | Placed 07-Apr-22 18:57:49;Back;1,79;5; -- ;3,94;Won
07-Apr-22 15:11:54;L Neumayer v M Alcala Gurri L Neumayer-Match Odds | Betfair Bet ID 1:263939559706 | Placed 07-Apr-22 09:15:26;Back;1,26;10; -- ;2,6;Won
07-Apr-22 14:00:52;Sabalenka v Anisimova Aryna Sabalenka-Match Odds | Betfair Bet ID 1:263939787317 | Placed 07-Apr-22 09:17:47;Back;1,94;10; -- ;-10;Lost
07-Apr-22 10:15:53;Passaro v Ma Valkusz Mate Valkusz-Match Odds | Betfair Bet ID 1:263917940621 | Placed 07-Apr-22 01:38:12;Back;1,75;10; -- ;-10;Lost
07-Apr-22 08:44:46;Cachin v Brancaccio Raul Brancaccio-Match Odds | Betfair Bet ID 1:263917973346 | Placed 07-Apr-22 01:39:26;Back;2,8;5; -- ;-5;Lost
07-Apr-22 04:06:12;P Cheapchandej v A Eala P Cheapchandej-Match Odds | Betfair Bet ID 1:263917966242 | Placed 07-Apr-22 01:39:09;Back;2,88;5; -- ;-5;Lost
07-Apr-22 03:43:23;I De Vroome v S Akita S Akita-Match Odds | Betfair Bet ID 1:263917955436 | Placed 07-Apr-22 01:38:47;Back;3;5; -- ;-5;Lost
07-Apr-22 01:01:40;J Lu v H Kuwata H Kuwata-Match Odds | Betfair Bet ID 1:263905117676 | Placed 06-Apr-22 20:46:26;Back;2,5;10; -- ;15;Won
06-Apr-22 18:54:20;Kyrgios v Paul Tommy Paul-Match Odds | Betfair Bet ID 1:263896701083 | Placed 06-Apr-22 17:35:16;Back;2,42;5; -- ;-5;Lost
06-Apr-22 18:06:15;Qinw Zheng v Alexandrova Qinwen Zheng-Match Odds | Betfair Bet ID 1:263880990658 | Placed 06-Apr-22 14:58:37;Back;1,78;10; -- ;-10;Lost
06-Apr-22 16:48:59;Collarini v Pervolarakis Michail Pervolarakis-Match Odds | Betfair Bet ID 1:263870455984 | Placed 06-Apr-22 13:30:38;Back;2,1;10; -- ;-10;Lost
06-Apr-22 14:22:15;Cam Ugo Carabelli v Santillan Camilo Ugo Carabelli-Match Odds | Betfair Bet ID 1:263870530085 | Placed 06-Apr-22 13:31:13;Back;2,72;5; -- ;8,6;Won
06-Apr-22 07:51:30;Pellegrino v L Klein Andrea Pellegrino-Match Odds | Betfair Bet ID 1:263713762808 | Placed 04-Apr-22 23:00:15;Back;1,7;10; -- ;-10;Lost
06-Apr-22 05:39:54;M Vrbensky v I Snitari I Snitari-Match Odds | Betfair Bet ID 1:263811524452 | Placed 06-Apr-22 01:37:21;Back;2,1;7,73; -- ;-7,73;Lost
06-Apr-22 03:49:00;Zlochova v J Bojovic Z Zlochova-Match Odds | Betfair Bet ID 1:263811498478 | Placed 06-Apr-22 01:36:27;Back;1,53;10; -- ;-10;Lost
06-Apr-22 00:44:40;Tiafoe v Giron Frances Tiafoe-Match Odds | Betfair Bet ID 1:263708239922 | Placed 04-Apr-22 18:47:14;Back;1,58;10; -- ;5,8;Won
05-Apr-22 22:54:30;Garin v Sock Cristian Garin-Match Odds | Betfair Bet ID 1:263785025526 | Placed 05-Apr-22 16:50:27;Back;2;8; -- ;8;Won
05-Apr-22 20:11:14;McDonald v Kyrgios Mackenzie McDonald-Match Odds | Betfair Bet ID 1:263784842912 | Placed 05-Apr-22 16:48:31;Back;2,78;5; -- ;-5;Lost
05-Apr-22 18:01:16;Johnson v Kudla Steve Johnson-Match Odds | Betfair Bet ID 1:263696384849 | Placed 04-Apr-22 15:58:18;Back;1,73;10; -- ;7,3;Won
05-Apr-22 14:05:43;Laaksonen v Gasquet Henri Laaksonen-Match Odds | Betfair Bet ID 1:263746026263 | Placed 05-Apr-22 10:22:34;Back;2,66;5,48; -- ;-5,48;Lost
05-Apr-22 13:05:26;Dellien v Van de Zandschulp Hugo Dellien-Match Odds | Betfair Bet ID 1:263745836142 | Placed 05-Apr-22 10:19:43;Back;2,24;10; -- ;-10;Lost
05-Apr-22 08:14:49;N Bouzo Zanotti v J Gimbrere N Bouzo Zanotti-Match Odds | Betfair Bet ID 1:263716287846 | Placed 05-Apr-22 01:04:54;Back;3;5; -- ;-5;Lost
05-Apr-22 08:05:20;O Gutierrez v Ti Cacao Oscar Jose Gutierrez-Match Odds | Betfair Bet ID 1:263716326002 | Placed 05-Apr-22 01:06:53;Back;1,32;10; -- ;3,2;Won
05-Apr-22 07:48:45;N Abduraimova v M Colmegna M Colmegna-Match Odds | Betfair Bet ID 1:263716270331 | Placed 05-Apr-22 01:04:04;Back;3;5; -- ;10;Won
05-Apr-22 06:46:59;J Avdeeva v G Topalova J Avdeeva-Match Odds | Betfair Bet ID 1:263716296020 | Placed 05-Apr-22 01:05:25;Back;1,31;10; -- ;3,1;Won
04-Apr-22 21:31:47;Clarke v Tomic Jay Clarke-Match Odds | Betfair Bet ID 1:263696436991 | Placed 04-Apr-22 15:58:44;Back;1,54;10; -- ;5,4;Won
04-Apr-22 16:13:44;Giustino v Nikles Lorenzo Giustino-Match Odds | Betfair Bet ID 1:263661418287 | Placed 04-Apr-22 10:05:00;Back;1,83;10; -- ;8,3;Won
04-Apr-22 14:36:38;Arnaboldi v Grenier Andrea Arnaboldi-Match Odds | Betfair Bet ID 1:263661386135 | Placed 04-Apr-22 10:04:40;Back;1,83;10; -- ;8,3;Won
04-Apr-22 12:45:25;Sasnovich v Kalinina Aliaksandra Sasnovich-Match Odds | Betfair Bet ID 1:263661467928 | Placed 04-Apr-22 10:05:28;Back;1,87;10; -- ;-10;Lost
04-Apr-22 07:54:55;Ol Krutykh v Heyman Oleksii Krutykh-Match Odds | Betfair Bet ID 1:263641754845 | Placed 04-Apr-22 03:23:47;Back;1,38;10; -- ;3,8;Won
04-Apr-22 07:52:48;Marozsan v Paulson Fabian Marozsan-Match Odds | Betfair Bet ID 1:263641872894 | Placed 04-Apr-22 03:27:59;Back;1,22;10; -- ;2,2;Won
04-Apr-22 07:24:34;Molleker v Bobrov Rudolf Molleker-Match Odds | Betfair Bet ID 1:263641848200 | Placed 04-Apr-22 03:27:03;Back;1,38;10; -- ;3,8;Won
03-Apr-22 12:34:10;I Gamarra Martins v E Lys I Gamarra Martins-Match Odds | Betfair Bet ID 1:263554319570 | Placed 03-Apr-22 10:24:11;Back;2,56;5; -- ;7,8;Won
03-Apr-22 03:26:37;J Kubler v O Jasika J Kubler-Match Odds | Betfair Bet ID 1:263487659793 | Placed 02-Apr-22 21:26:48;Back;1,27;12,95; -- ;3,5;Won
02-Apr-22 18:57:37;Krueger v Ebden Mitchell Krueger-Match Odds | Betfair Bet ID 1:263472859867 | Placed 02-Apr-22 17:28:30;Back;1,25;10; -- ;2,49;Won
02-Apr-22 14:20:31;Vesely v Munar Jiri Vesely-Match Odds | Betfair Bet ID 1:263405339166 | Placed 02-Apr-22 11:25:49;Back;2,74;10; -- ;-10;Lost
02-Apr-22 06:04:11;V Royer v H Medjedovic V Royer-Match Odds | Betfair Bet ID 1:263328525959 | Placed 02-Apr-22 02:21:25;Back;2,2;10; -- ;-10;Lost
01-Apr-22 13:32:00;Carballes Baena v Vesely Jiri Vesely-Match Odds | Betfair Bet ID 1:263253444546 | Placed 01-Apr-22 11:12:08;Back;2,2;10; -- ;12;Won
01-Apr-22 11:16:21;Escoffier v Ry Peniston Ryan Peniston-Match Odds | Betfair Bet ID 1:263216154985 | Placed 01-Apr-22 00:10:48;Back;2;10; -- ;-10;Lost
01-Apr-22 09:32:25;Serdarusic v Rubin Noah Rubin-Match Odds | Betfair Bet ID 1:263216199981 | Placed 01-Apr-22 00:11:49;Back;2,5;9,96; -- ;-9,96;Lost
01-Apr-22 09:32:25;Serdarusic v Rubin Noah Rubin-Match Odds | Betfair Bet ID 1:263216204605 | Placed 01-Apr-22 00:11:54;Back;2,46;0,04; -- ;-0,04;Lost
01-Apr-22 08:08:15;Udvardy v Tama Korpatsch Panna Udvardy-Match Odds | Betfair Bet ID 1:263216102958 | Placed 01-Apr-22 00:09:27;Back;2,2;10; -- ;-10;Lost
31-Mar-22 14:19:15;Quiroz v Krstin Pedja Krstin-Match Odds | Betfair Bet ID 1:263192755084 | Placed 31-Mar-22 13:21:54;Back;2,66;10; -- ;16,6;Won
31-Mar-22 14:19:15;Quiroz v Krstin Roberto Quiroz-Match Odds | Betfair Bet ID 1:263192761811 | Placed 31-Mar-22 13:22:00;Back;1,59;16,72; -- ;-16,72;Lost
31-Mar-22 14:19:15;Quiroz v Krstin Pedja Krstin-Match Odds | Betfair Bet ID 1:263192832164 | Placed 31-Mar-22 13:23:28;Back;2,3;10; -- ;12,97;Won
31-Mar-22 11:53:50;M Ilhan v I Snitari M Ilhan-Match Odds | Betfair Bet ID 1:263164950763 | Placed 31-Mar-22 07:47:23;Back;3;10; -- ;20;Won
31-Mar-22 10:34:19;Kohlschreiber v Taberner Philipp Kohlschreiber-Match Odds | Betfair Bet ID 1:263164894488 | Placed 31-Mar-22 07:46:30;Back;2,85;10; -- ;18,45;Won
30-Mar-22 10:03:11;Marchenko v Ja Draper Illya Marchenko-Match Odds | Betfair Bet ID 1:262929016109 | Placed 28-Mar-22 00:38:31;Back;2,98;10; -- ;-10;Lost
30-Mar-22 09:11:07;Basic v Moraing Mats Moraing-Match Odds | Betfair Bet ID 1:262929085434 | Placed 28-Mar-22 00:41:00;Back;1,49;9,73; -- ;-9,73;Lost
30-Mar-22 09:11:07;Basic v Moraing Mats Moraing-Match Odds | Betfair Bet ID 1:262929094497 | Placed 28-Mar-22 00:41:30;Back;1,46;0,27; -- ;-0,27;Lost
29-Mar-22 14:12:22;Diez v Kicker Nicolas Kicker-Match Odds | Betfair Bet ID 1:263024343140 | Placed 29-Mar-22 12:05:54;Back;1,7;10; -- ;7;Won
29-Mar-22 12:23:34;Bonadio v Giustino Lorenzo Giustino-Match Odds | Betfair Bet ID 1:262929074081 | Placed 28-Mar-22 00:40:30;Back;2,56;10; -- ;-10;Lost
29-Mar-22 06:47:39;Copil v Novak Dennis Novak-Match Odds | Betfair Bet ID 1:262929033977 | Placed 28-Mar-22 00:39:09;Back;1,8;10; -- ;-10;Lost
29-Mar-22 05:46:04;Gaio v Martin Tiffon Federico Gaio-Match Odds | Betfair Bet ID 1:262975845110 | Placed 28-Mar-22 19:16:25;Back;1,47;15,46; -- ;7,27;Won
29-Mar-22 05:46:04;Gaio v Martin Tiffon Federico Gaio-Match Odds | Betfair Bet ID 1:262975857627 | Placed 28-Mar-22 19:16:54;Lay;1,68;13,52;9,19;-9,19;Lost
29-Mar-22 05:46:04;Gaio v Martin Tiffon Federico Gaio-Match Odds | Betfair Bet ID 1:262975867644 | Placed 28-Mar-22 19:17:16;Back;1,63;15,52; -- ;9,77;Won
